	sex	diet	generation	group	name	batch
A01_(Drosophila_2).CEL	Male	CD	F0	control	cntrl_cd_f0_male_A01	a
A02_(Drosophila_2).CEL	Male	CD	F0	control	cntrl_cd_f0_male_A02	a
A03_(Drosophila_2).CEL	Male	CD	F0	control	cntrl_cd_f0_male_A03	a
A04_(Drosophila_2).CEL	Male	CD	F0	control	cntrl_cd_f0_male_A04	a
C01_(Drosophila_2).CEL	Female	CD	F0	control	cntrl_cd_f0_female_C01	a
C02_(Drosophila_2).CEL	Female	CD	F0	control	cntrl_cd_f0_female_C02	a
C03_(Drosophila_2).CEL	Female	CD	F0	control	cntrl_cd_f0_female_C03	a
C04_(Drosophila_2).CEL	Female	CD	F0	control	cntrl_cd_f0_female_C04	a
B01_(Drosophila_2).CEL	Male	HSD	F0	case	treat_hsd_f0_male_B01	a
B02_(Drosophila_2).CEL	Male	HSD	F0	case	treat_hsd_f0_male_B02	a
B03_(Drosophila_2).CEL	Male	HSD	F0	case	treat_hsd_f0_male_B03	a
B04_(Drosophila_2).CEL	Male	HSD	F0	case	treat_hsd_f0_male_B04	a
D01_(Drosophila_2).CEL	Female	HSD	F0	case	treat_hsd_f0_female_D01	a
D02_(Drosophila_2).CEL	Female	HSD	F0	case	treat_hsd_f0_female_D02	a
D03_(Drosophila_2).CEL	Female	HSD	F0	case	treat_hsd_f0_female_D03	a
D04_(Drosophila_2).CEL	Female	HSD	F0	case	treat_hsd_f0_female_D04	a
E01_(Drosophila_2).CEL	Male	CD	F1	control	cntrl_cd_f1_male_E01	b
E02_(Drosophila_2).CEL	Male	CD	F1	control	cntrl_cd_f1_male_E02	b
E03_(Drosophila_2).CEL	Male	CD	F1	control	cntrl_cd_f1_male_E03	b
E04_(Drosophila_2).CEL	Male	CD	F1	control	cntrl_cd_f1_male_E04	b
G01_(Drosophila_2).CEL	Female	CD	F1	control	cntrl_cd_f1_female_G01	c
G02_(Drosophila_2).CEL	Female	CD	F1	control	cntrl_cd_f1_female_G02	c
G03_(Drosophila_2).CEL	Female	CD	F1	control	cntrl_cd_f1_female_G03	c
G04_(Drosophila_2).CEL	Female	CD	F1	control	cntrl_cd_f1_female_G04	c
I01_(Drosophila_2).CEL	Male	CD	F1	case	treat_cd_f1_male_I01	b
I02_(Drosophila_2).CEL	Male	CD	F1	case	treat_cd_f1_male_I02	b
I03_(Drosophila_2).CEL	Male	CD	F1	case	treat_cd_f1_male_I03	b
I04_(Drosophila_2).CEL	Male	CD	F1	case	treat_cd_f1_male_I04	b
K01_(Drosophila_2).CEL	Female	CD	F1	case	treat_cd_f1_female_K01	c
K02_(Drosophila_2).CEL	Female	CD	F1	case	treat_cd_f1_female_K02	c
K03_(Drosophila_2).CEL	Female	CD	F1	case	treat_cd_f1_female_K03	c
